code,link,address,barrio,distrito,ciudad,lat,lon,price,area,has_elevator,floor,exterior,rooms
91431452,https://www.idealista.com/inmueble/91431452/,Olivares,Barrio Olivares,Distrito Buenavista-Ería-Montecerrao,Oviedo,43.361926,-5.878163,590000,40,,,,4
90992307,https://www.idealista.com/inmueble/90992307/,Calle Arzobispo Guisasola,Barrio Auditorio-Seminario-Parque de Invierno,Distrito Centro-Casco Histórico,Oviedo,43.357596,-5.841457,209000,116,True,9.0,True,3
90084540,https://www.idealista.com/inmueble/90084540/,Calle Asturias,Barrio Parque San Francisco-Uría,Distrito Centro-Casco Histórico,Oviedo,43.364161,-5.853979,750000,219,True,4.0,True,5
89605792,https://www.idealista.com/inmueble/89605792/,Calle Arquitecto Reguera,Barrio Parque San Francisco-Uría,Distrito Centro-Casco Histórico,Oviedo,43.36591,-5.853493,349000,155,True,7.0,True,4
90320724,https://www.idealista.com/inmueble/90320724/,Calle González del Valle,Barrio Parque San Francisco-Uría,Distrito Centro-Casco Histórico,Oviedo,43.3625686,-5.8540153,340000,114,True,2.0,True,4
83056258,https://www.idealista.com/inmueble/83056258/,Calle Muñoz Degraín,Barrio Auditorio-Seminario-Parque de Invierno,Distrito Centro-Casco Histórico,Oviedo,43.354331,-5.847844,205000,83,True,7.0,True,3
90711235,https://www.idealista.com/inmueble/90711235/,"Pasaje Luis Muñiz, 4",Barrio Santo Domingo-El Campillín,Distrito Centro-Casco Histórico,Oviedo,43.360941,-5.841275,145000,63,True,1.0,True,2
90878875,https://www.idealista.com/inmueble/90878875/,Calle Corvera,Barrio La Florida,Distrito Ciudad Naranco-Vallobín-La Florida,Oviedo,43.370639,-5.873915,135000,71,True,2.0,True,2
90703244,https://www.idealista.com/inmueble/90703244/,Calle del General Elorza,Barrio Salesas-Foncalada-Campoamor,Distrito Centro-Casco Histórico,Oviedo,43.368142,-5.849273,114900,102,True,1.0,True,2
90791095,https://www.idealista.com/inmueble/90791095/,"Calle Fuente de la Plata, 73",Barrio Parque del Oeste,Distrito Buenavista-Ería-Montecerrao,Oviedo,43.364322,-5.875246,129000,98,True,4.0,True,3
90379958,https://www.idealista.com/inmueble/90379958/,"Calle Luxemburgo, 3",Barrio HUCA-La Cadellada,Distrito Corredoría-Huca-Teatinos,Oviedo,43.3716513,-5.8283801,125000,76,True,7.0,True,2
89694511,https://www.idealista.com/inmueble/89694511/,Calle Santiago de Compostela s/n,Barrio Ciudad Naranco-Prados de La Fuente,Distrito Ciudad Naranco-Vallobín-La Florida,Oviedo,43.3743314,-5.8546578,135000,84,True,1.0,True,2
90477132,https://www.idealista.com/inmueble/90477132/,Calle Mariscal Solis,Barrio Vallobín,Distrito Ciudad Naranco-Vallobín-La Florida,Oviedo,43.3661684,-5.8656009,55000,67,True,3.0,True,2
91565807,https://www.idealista.com/inmueble/91565807/,Calle Colegio San Ignacío,Barrio Corredoría-La Carisa-Prado de La Vega,Distrito Corredoría-Huca-Teatinos,Oviedo,43.375887,-5.820251,365000,211,,,,3
91060185,https://www.idealista.com/inmueble/91060185/,Calle Catedrático Gimeno,Barrio Auditorio-Seminario-Parque de Invierno,Distrito Centro-Casco Histórico,Oviedo,,,159000,55,True,8.0,True,2
90855605,https://www.idealista.com/inmueble/90855605/,Viaducto del Ingeniero Marquina,Barrio Parque San Francisco-Uría,Distrito Centro-Casco Histórico,Oviedo,43.366075,-5.85353,520000,147,True,4.0,True,3
90672411,https://www.idealista.com/inmueble/90672411/,Calle Tomás Crespo Frigilis,Barrio La Ería,Distrito Buenavista-Ería-Montecerrao,Oviedo,43.35979,-5.864704,250000,99,True,2.0,True,3
88618529,https://www.idealista.com/inmueble/88618529/,Calle Piloña,Urb. Urbanización Loma de Montecerrao,Barrio Montecerrao,Distrito Buenavista-Ería-Montecerrao,43.3515639,-5.8630951,298000,114,True,7.0,True,2
90114494,https://www.idealista.com/inmueble/90114494/,Calle Nueve de Mayo,Barrio Salesas-Foncalada-Campoamor,Distrito Centro-Casco Histórico,Oviedo,43.367439,-5.851509,249500,111,True,5.0,True,4
90882730,https://www.idealista.com/inmueble/90882730/,"Calle González Besada, 1",Barrio Auditorio-Seminario-Parque de Invierno,Distrito Centro-Casco Histórico,Oviedo,43.3573199,-5.8480156,119000,89,,1.0,True,3
90536990,https://www.idealista.com/inmueble/90536990/,"Calle de Campomanes, 13",Barrio Auditorio-Seminario-Parque de Invierno,Distrito Centro-Casco Histórico,Oviedo,43.35814,-5.846305,200000,163,True,2.0,True,4
91521661,https://www.idealista.com/inmueble/91521661/,Aldea las Cruces,Distrito La Manjoya-Parroquias Sur,Oviedo,"Área de Oviedo, Asturias",43.34743,-5.82264,450000,365,,,,5
